pre_cmt,rating,class,length
đẹp chất_lượng tốt giao mua,5,like,27
mỏng đẹp giao chậm đóng_gói,5,like,27
đẹp tham_khảo,5,like,13
đẹp dày hơi thô mặc hơi rộng giàu,5,like,33
Sản phẩm ok,5,like,11
tuyệt_vời lắm mua ló lắm,5,like,24
dựng tụ_nghĩa ban_đầu yếu mỏng,5,like,30
Hình ảnh chỉ mang tính chất nhận xu,5,like,35
giao Đặt đen_shop giao,5,like,22
đẹp đẹp lắm lắm ngườii mua,5,like,26
Mua giao đẹp mặc ok,5,like,19
hơi mỏng mỏng mặc rẻ oke,5,like,24
Hình ảnh mang tính chất nhận xu,5,like,31
lười chụp đẹp lắm hợp_lý,5,like,24
Moi Quy khach soan tin de tham gia DV ung Data:,5,like,47
Có,5,like,2
coi ko yên_tâm,5,like,14
sản_phẩm tốt mỏng nhẹ mát Giao Đáng mua Sẽ ủng_hộ shop,5,like,54
Không đẹp không_đẹp mặc mát dễ_chịu liền nhuộm nồng,5,like,51
Giao đóng_gói mua hình_ảnh,5,like,26
Hình ảnh chỉ mang tính chất nhận xu hosnaksmwgecbelfke lưucvek,5,like,62
Mua ok cmt bảo rộng shop mua,5,like,28
đẹp giao tốt tốt ok,5,like,19
Giao hơi ko,5,like,11
giao tốt hình_ảnh,5,like,17
Giao Nhận ưng_ý Sẽ ủng_hộ,5,like,25
"Giao hàng nhanh, đóng gói cẩn thận.",5,like,35
Êm nha mát nữa rất thoải mái rất đáng mua ,5,like,42
Đúng giao mát nhiệt_tình lắm,5,like,28
Giao hơi thông_cảm tương_ứng mua,5,like,32
đẹp,5,like,3
ship hài,5,like,8
giao đẹp chuẩn,5,like,14
giao,5,like,4
Giao mát ủng_hộ,5,like,15
Giao nhanhh đóng_gói hàng ổn,5,like,28
sản_phẩm tốt đẹp Đáng lắm,5,like,25
Sẽ ủng_hộ shop hơi hơi dịch cẩn_thận,5,like,36
Mặc đẹp vãi hơi mỏng,5,like,20
𝐐𝐮𝐚́𝐧 𝐓𝐮̛𝐨̛̉𝐧𝐠 𝟑 Đ𝐢𝐞̂̀𝐮 𝐏𝐡𝐮̛𝐨̛́𝐜 𝐁𝐚́𝐨,5,like,37
Giao đóng_gói đẹp,5,like,17
Ny mình mặc hơi ôm cổ nhẹ tay áo hơi sát lên cao form không hẳn giống ảnh lắm,4,like,77
mềm mát size chật,4,like,17
Sp phù hợp giá,4,like,14
bình_thường xấu ôm sát dám mặc,4,like,30
giao,4,like,4
trừ_hao mặc chật mua trừ_hao,4,like,28
Vận chuyển  hàng  phù hợp,4,like,25
lạnh mặc_mát ổn cắt hụt kéo may nhăn trắng dơ,4,like,45
chuẩn chỉnh mặc,4,like,15
nhìn chung là phù hợp với giá tiền  aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa,4,like,78
giao tương_đối trắng dơ,4,like,23
đẹp tốt giao,4,like,12
mặc nóng,4,like,8
chỉnh sửa mua sản_phẩm hoàn_thiện đẹp rộng khách_hàng đo chon,4,like,61
Giao lắm,4,like,8
Hàng đẹp giao hơi xíu ko cẩn_thận lắm,4,like,37
Cùng đen chất_liệu mặc rộng hơi ôm mặc rộng mua tiếp,4,like,52
đóng hàng chắc chắn giao nhanh .,4,like,32
Giao gói bịt,4,like,12
nách may chuẩn khoét sâu kO đẹp,4,like,31
Áo vải đẹp nhưng phần vai hơi dài (bản hơi to),4,like,46
Giao rẻ xài tạm,4,like,15
"Đặt 3 áo sz xxl, giao 2 áo đúng sz, 1 áo sz M mà tem thì sz xxl. Shop giao hàng cẩn thận. Vì áo không đúng sz mặc k vừa thì k pk làm sao.",4,like,137
tốt mặc mát hơi bó sát cổ không_thoải cổ lắm,4,like,44
"Không giống hình cho lắm, cổ hơi rộng",4,like,37
đẹp dính j xóa giặt mãi k,4,like,25
bé vs chất_lượng,4,like,16
xấu thực sựba to mua mặc khuyên ko,4,like,34
đen trơn hơi nóng in đẹp mát,4,like,28
Đẹp,4,like,3
trắng may nhăn_nhúm xanh,4,like,24
đen xanh than ghi nóng,4,like,22
Tiền nào của nấy,4,like,20
cảm_giác đứt nách may,4,like,21
lắm tạm đc giao chậm,4,like,20
Rất đẹp,4,like,7
Sho,4,like,3
to ok,4,like,5
Tạm,4,like,3
Rất ok,4,like,6
Khúc hơi ngắn ok,4,like,16
Cũng ok lắm,4,like,11
"Ok! Tiền nào của đó, giá hợp lý!",4,like,32
Tạm,4,like,3
đen ok trắng,4,like,12
Cổ hơi xấu may rúm,4,like,18
mỏng,4,like,4
hơi nóng,4,like,8
Tạm,4,like,3
Good jajjajakakkakakakkaka,4,like,26
đẹp mềm thoáng mát cám_ơn shop,4,like,30
Vai mình thấy nhỏ hơn đợt trước nhiều.,3,not_like,38
nóng bình_thường k,3,not_like,18
may thừa thất_vọng,3,not_like,18
cắt may vội ổn lắm,3,not_like,18
Mang giặt tạm tạm,3,not_like,17
xanh đen hơi trắng tạm ổn,3,not_like,25
Tạm dc so với tiền ko đẹp lắm,3,not_like,29
Giao đẹp mắc,3,not_like,12
mặc mát,3,not_like,7
Cổ thừa mặc xấu mềm,3,not_like,19
giao lộn đen giao xanh haizzz,3,not_like,29
xấu mỏng may xấu Sẽ k mua,3,not_like,25
cứng chụp Giống la,3,not_like,18
Mua size mặc mặc,3,not_like,16
may ko mặc ko Mua,3,not_like,17
lưu_ý_shop giao giúp giao,3,not_like,25
xl néu mua thi mặc,3,not_like,18
hơi ngứa nóng,3,not_like,13
tạm ổn giặt r mặc nhặm,3,not_like,22
k chất,3,not_like,6
Tạm,3,not_like,3
chuẩn lắm,3,not_like,9
đc đẹp đc,3,not_like,9
ôm,3,not_like,2
Áo có mùi khó chịu,3,not_like,18
65,3,not_like,2
thừa xám đẹp,3,not_like,12
.vgghh,3,not_like,6
Tạm,3,not_like,3
nóng,3,not_like,4
nóng,3,not_like,4
may tem,3,not_like,7
mỏng xuyên,3,not_like,10
mỏng,3,not_like,4
Áo hơi nhỏ so với mẫu,3,not_like,21
sản_phẩm tạm,3,not_like,12
sản_phẩm tạm,3,not_like,12
sản_phẩm tạm,3,not_like,12
sản_phẩm tạm,3,not_like,12
sản_phẩm tạm,3,not_like,12
sản_phẩm tạm,3,not_like,12
sản_phẩm tạm Giá_cả chấp_nhận,3,not_like,29
be teo lua chat co,2,not_like,18
Mua đen mát size xám Chả nổi,2,not_like,28
không_ra gửi mua,2,not_like,16
Có size Lạ,2,not_like,10
cũ,2,not_like,2
xl bé z mát lắm,2,not_like,15
không_giống xấu,2,not_like,15
vãi mỏng,2,not_like,8
Cổ,2,not_like,2
Mặc nóng,2,not_like,8
sản_phẩm kém,2,not_like,12
sản_phẩm kém,2,not_like,12
Chất nóng thôi rồi,1,not_like,18
Đặt giao nhầm mua,1,not_like,17
Mặc ngứa rẻ thô hút nóng đứt ko ko mua sai mua thui uổng,1,not_like,56
sản_phẩm tệ Nói trà_trộn thô đánh_lừa mua Quá khiếu_nại hàng mua,1,not_like,64
Treo không_giống mặc chán Việt_Nam,1,not_like,34
kém hợp,1,not_like,7
xấu,1,not_like,3
"Áo nhỏ quá so với quảng cáo, ko dùng được, bỏ đi",1,not_like,48
sản_phẩm tệ không_như,1,not_like,21
nóng thô,1,not_like,8
sản_phẩm kém,1,not_like,12
mỏng ổn rấ,5,like,10
Giao chấp_nhận,5,like,14
Áo da cá chất khá là mỏng mang vừa ,5,like,35
"Đồ rẻ phù hợp với giá tiền, shop rẻ hơn các shop khác. ",5,like,55
oke r mua,5,like,9
hơi mỏng đẹp lung_tung đc mng đừng,5,like,34
mặc mát,5,like,7
giao chất_liệu mỏng thoáng mát_mặt ok giá_thành rẻ ủng_hộ shop tiếp,5,like,67
Mua ổn mát shop giao nhầm size,5,like,30
Mua ko mặc ko rẻ ko nhìu,5,like,24
mỏng mát giãn giặt rẻ,5,like,21
trắng mỏng hic sướng,5,like,20
ủng_hộ shop ủng_hộ shop,5,like,23
y9fiyfigcitcvhcy9c8f8yc,5,like,23
Giao đẹp,5,like,8
Mua mua uy_tín,5,like,14
Hàng mỏng đẹp lắm Giao tương_đối,5,like,32
Giao lỗ mỏng mỏng_dính hơi nhạy_cảm ko mặc maxtino dayf dày,5,like,59
hơi mỏng mặc mát,5,like,16
mua mua giao,5,like,12
giao sp tốt vs 2XL shop giao nhầm hơi,5,like,37
shop giao giao,5,like,14
oke 👍 ship lắmtrong dịch ship lắm,5,like,33
] SỞ TTTT_NAM_ĐỊNH tiêm sức_khỏe tiêm gia_đình chiến_dịch nhân_dân sức_khỏe,5,like,75
tạm ổn Dùng cotton đc lắm,5,like,25
mỏng mát Rất mặc mặc lót mặc,5,like,28
Giao đc mặc mát may đẹp thừa giao,5,like,33
mỏng mát giao,5,like,13
Giao đóng gói cẩn_thận,5,like,22
sp ok mặc hơi chật to,5,like,21
đẹp mặc rẻ,5,like,10
Giao đóng_gói hơi mỏng,5,like,22
tốt So ổn mỏng mặc không_sao mua tốt,5,like,36
hợp mềm,5,like,7
Giao dịch_vụ chất_lượng kkkkkkkbagjahvakakabvabanababvzkanxvhskakbxyxiakavdusma iskdbhskqkqvdydisks bù lhslag in sgja nabd sold enjoy sky,5,like,137
săn oke đẹp gói giao,5,like,20
Giao đầy_đủ hơi rộng hợp,5,like,24
Áo phù hợp giá tiền.,5,like,20
Giao rẻ hơi mỏng Giao,5,like,21
"Áo siêu mỏng, không cần giơ lên đèn hay nắng cũng thấy xuyên qua được. NHƯNG giá rẻ như vậy, với lại mình mua để mặc ngủ thì khá ok, không đòi hỏi gì hết 😜😜😜",5,like,157
(TB) NẠP TIỀN HÔM NAY - DATA TRAO TAY!,5,like,38
mỏng mát mặc hơi sơ xài Giao,5,like,28
Giao,5,like,4
Giao,5,like,4
depp mua baot mỏng tí mát,5,like,25
Sản phẩm okie ooooooooooooooookkkkkkkkkkkkkkkkkkkkkkkkkkkke,5,like,59
"Đồ nhà shop dùng thích lắm. Giao hàng nhanh, đóng gói cẩn thận. ",5,like,64
hơi mỏng sản_phẩm mặc mát mua,5,like,29
rẻ chất_lượng ổn,5,like,16
Sản phẩm okie ooooooooooooooookkkkkkkkkkkkklkkkkkkkkkkkkkke,5,like,59
Khi bạn giàu: Người ta nghe bạn nói,5,like,35
hàng mua,5,like,8
Vải mỏng mình mặc lót trong áo sơ mi thôi,5,like,41
Chiều nay L chỉ bán ship về thôi nhe khách iu !! GIẢM TẤT CẢ 10% NHÉ MN,5,like,71
đóng_gói Giao sad giao,4,like,22
bự chật akvải gia thành rẻ nen mong,4,like,35
mỏng quá_trời gọi_là xứng_đáng,4,like,30
xấu hơi thất_vọng nóng cứng,4,like,27
thô mỏng giặt toe dính may ổn,4,like,29
Nsnsnznznznsndnsnxndndndjdndnndjdjdndndjdjsksjdjskskkđjndndjdjdjdjdnsnsndkdjkđkdkd,4,like,82
Hàng hơi mỏng tương_xứng,4,like,24
Giao shipper cẩn_thận đen,4,like,25
mỏng lắm trc mua,4,like,16
Giao mỏng thừa tạm ổn,4,like,21
:)) okjdjdjdjdjdjdjđkkdkdkdkdkđkkdkdkdkdkđkdkdkkdkđkkd,4,like,54
Giống hơi mỏng rộng shop,4,like,24
xjsjejejjx xjsjejejjx xjsjejejjx xjsjejejjx xjsjejejjx xjsjejejjx,4,like,65
Giao hàng lâuuu,4,like,15
sản_phẩm ổn Giao chậm,4,like,21
"Ok chất lượng ổn so với giá, vải hơi mỏng,  chất thô sờ không được mịn ",4,like,71
mỏng tốt mặc hơi,4,like,16
"Hàng chất lượng bình thường , tiền nào của lấy",4,like,46
Đặt giao nhầm ngắn Nhưny,4,like,24
tạm ổn giao liền giả đợi xong giao,4,like,34
trắng mỏng chấp_nhận đơn_sơ rách va_đập,4,like,39
giao,4,like,4
size mua mặc bé lắm Đành thui,4,like,29
trông chán lắm,4,like,14
thô ráp ổn,4,like,10
hơi mõng va rách mát phối ok,4,like,28
Hay,4,like,3
tạm,4,like,3
Mặc mát,4,like,7
mỏng,4,like,4
thưa,4,like,4
ổn,4,like,2
Giao mỏng,4,like,9
Hang ok.thank ,4,like,14
mỏng hơi nóng,4,like,13
nhầm,4,like,4
Hàng ok,4,like,7
xài ổn,4,like,6
Phù hợp giá tiền,4,like,16
sản_phẩm,4,like,8
hơi mỏng sột_soạt,4,like,17
mỏng,4,like,4
Không 100_0,4,like,11
tam ổn,4,like,6
mỏng,4,like,4
đẹp hơi mỏng,4,like,12
mỏng,4,like,4
phục_vụ tốt,4,like,11
Áo hơi mỏngggggggggggghhahahgssghshshshshshdhshhshshsshshshshhshsh,3,not_like,66
bọc xấu mỏng Bảo du ko ko tự_do du du_hí o du du,3,not_like,48
hủy shop cố_tình giao mỏng_dính thất_vọng giẻ_lau Không Không :) nhắm_mắt,3,not_like,73
Tiền nào của nấy nha ae. Chất lượng và giá tiền luôn đi đôi. Ahihi,3,not_like,66
như_tờ Ghi chất mặc cứng Chưa trung_thực,3,not_like,40
tương_xứng Thấy rẻ mua mặc,3,not_like,26
đóng_gói Mua chẳng đựng,3,not_like,23
mỏng Cũng mua ngang đẹp dày,3,not_like,27
giao chậm mỏngggggggggggggggggggggggggggggg,3,not_like,43
mỏng,3,not_like,4
mỏng mặc mua,3,not_like,12
tạm ổn,3,not_like,6
mỏng trung_thực khách_hàng,3,not_like,26
đc gửi trắng gửi trắng xanh gửi sai,3,not_like,35
mỏng như_tờ ôm sexy mặc mặc,3,not_like,27
mỏng,3,not_like,4
hơi mỏng,3,not_like,8
mỏng,3,not_like,4
Rẻ mặc mát giao chậm,3,not_like,20
mỏng Giặt bai,3,not_like,13
mỏng khọng,3,not_like,10
